sample,strategy,longest,overlap,repeat,estimate,memory,cpu_time
ATCC_BAA-679,long,10000,100,0,3721661.0,1422704,13.15
ATCC_25922,long,10000,100,0,inf,1726556,15.01
ATCC_35897,long,10000,25000,0,2806305.5688462025,1766564,577.83
ATCC_19119,long,10000,25000,0,2910782.279713805,1700740,545.88
BPH2947,long,10000,25000,0,3318501.109234073,2065896,644.67
ATCC_10708,long,10000,25000,0,4495722.667805654,1607244,372.79
KPC2,long,10000,25000,0,5775598.581922047,3457464,568.33
RDH275,long,10000,25000,0,1793918.054605496,1297884,359.44
AJ292,long,10000,25000,0,5455350.751464296,3452092,1043.02
ATCC_17802,long,10000,25000,0,5076741.311852705,1858080,426.74
ATCC_35221,long,10000,25000,0,1536449.5761904763,1332232,294.31
AMtb_1,long,10000,25000,0,4174353.5585623677,1102096,362.87
MMC234,long,10000,25000,0,2061350.682373272,1737308,484.82
ATCC_33560,long,10000,25000,0,1733008.4276978066,1511700,397.87
ATCC_BAA-679,long,10000,25000,0,2904868.481234867,1659060,510.71
ATCC_25922,long,10000,25000,0,4945202.200460829,2218128,540.72
ATCC_35897,long,10000,5000,0,2755054.7822916666,1604472,203.28
ATCC_19119,long,10000,5000,0,2926175.105603448,1541440,171.58
BPH2947,long,10000,5000,0,2971390.314258912,2061648,248.02
ATCC_10708,long,10000,5000,0,4467513.047272728,1557412,114.23
KPC2,long,10000,5000,0,5286100.410909091,3394280,255.31
RDH275,long,10000,5000,0,1823136.0292307693,1167284,120.41
AJ292,long,10000,5000,0,5135689.439927733,3232304,417.53
ATCC_17802,long,10000,5000,0,5026508.207792208,1688156,131.25
ATCC_35221,long,10000,5000,0,1517127.4655122655,1240072,138.47
AMtb_1,long,10000,5000,0,4037075.720238095,1102808,96.3
MMC234,long,10000,5000,0,2003398.10683425,1564556,175.11
ATCC_33560,long,10000,5000,0,1672787.9216380182,1381572,163.24
ATCC_BAA-679,long,10000,5000,0,2913554.780748663,1503588,169.22
ATCC_25922,long,10000,5000,0,4815861.15136876,2042460,172.34
ATCC_35897,long,10000,10000,0,2823184.1919934643,1654428,336.39
ATCC_19119,long,10000,10000,0,2892799.5336700333,1551540,287.01
BPH2947,long,10000,10000,0,3054259.4307382386,2065228,395.93
ATCC_10708,long,10000,10000,0,4499791.685393259,1601244,195.38
KPC2,long,10000,10000,0,5400201.001856764,3445924,403.29
RDH275,long,10000,10000,0,1798577.2408521306,1197440,206.27
AJ292,long,10000,10000,0,5296993.523198815,3241392,664.66
ATCC_17802,long,10000,10000,0,5019997.436111111,1684108,228.54
ATCC_35221,long,10000,10000,0,1522985.75154321,1279636,213.26
AMtb_1,long,10000,10000,0,4053062.6315789474,1101768,172.51
MMC234,long,10000,10000,0,2029285.2753225805,1619440,291.81
ATCC_33560,long,10000,10000,0,1701476.88525641,1424444,262.74
ATCC_BAA-679,long,10000,10000,0,2921418.4777777777,1550592,285.37
ATCC_25922,long,10000,10000,0,4894547.1416510325,2102504,280.38
ATCC_35897,long,100,1000,0,2666204.1409266405,118004,8.98
ATCC_19119,long,100,1000,0,2615325.700757575,138428,11.24
BPH2947,long,100,1000,0,887480.7987804879,161768,17.5
ATCC_10708,long,100,1000,0,1493513.5561290323,120284,6.14
KPC2,long,100,1000,0,3431819.804360465,223580,14.97
RDH275,long,100,1000,0,1512028.6943181818,98024,10.49
AJ292,long,100,1000,0,4433843.937662338,249380,17.84
ATCC_17802,long,100,1000,0,3749341.883333334,158548,7.63
ATCC_35221,long,100,1000,0,1427220.0202302057,111144,11.34
AMtb_1,long,100,1000,0,2904539.983974359,58176,3.13
MMC234,long,100,1000,0,615690.765227021,114476,12.62
ATCC_33560,long,100,1000,0,1543856.7908653845,105704,10.37
ATCC_BAA-679,long,100,1000,0,2838824.6715367967,122052,8.75
